valid_time,number,latitude,longitude,expver,msl
2006-01-01,0,-43.5,172.5,0001,100983.875
2006-02-01,0,-43.5,172.5,0001,101300.0
2006-03-01,0,-43.5,172.5,0001,101446.56
2006-04-01,0,-43.5,172.5,0001,100960.56
2006-05-01,0,-43.5,172.5,0001,101427.75
2006-06-01,0,-43.5,172.5,0001,101667.75
2006-07-01,0,-43.5,172.5,0001,101628.31
2006-08-01,0,-43.5,172.5,0001,101240.25
2006-09-01,0,-43.5,172.5,0001,101524.25
2006-10-01,0,-43.5,172.5,0001,101116.375
2006-11-01,0,-43.5,172.5,0001,100683.81
2006-12-01,0,-43.5,172.5,0001,101225.75
2007-01-01,0,-43.5,172.5,0001,101238.44
2007-02-01,0,-43.5,172.5,0001,102007.69
2007-03-01,0,-43.5,172.5,0001,101306.625
2007-04-01,0,-43.5,172.5,0001,101611.0
2007-05-01,0,-43.5,172.5,0001,101561.25
2007-06-01,0,-43.5,172.5,0001,100971.75
2007-07-01,0,-43.5,172.5,0001,101405.25
2007-08-01,0,-43.5,172.5,0001,101190.5
2007-09-01,0,-43.5,172.5,0001,101581.125
2007-10-01,0,-43.5,172.5,0001,100621.5
2007-11-01,0,-43.5,172.5,0001,101373.44
2007-12-01,0,-43.5,172.5,0001,101720.31
2008-01-01,0,-43.5,172.5,0001,101576.125
2008-02-01,0,-43.5,172.5,0001,101194.375
2008-03-01,0,-43.5,172.5,0001,101726.19
2008-04-01,0,-43.5,172.5,0001,101655.375
2008-05-01,0,-43.5,172.5,0001,101577.81
2008-06-01,0,-43.5,172.5,0001,101325.69
2008-07-01,0,-43.5,172.5,0001,101131.94
2008-08-01,0,-43.5,172.5,0001,100915.375
2008-09-01,0,-43.5,172.5,0001,101362.5
2008-10-01,0,-43.5,172.5,0001,101179.31
2008-11-01,0,-43.5,172.5,0001,100961.875
2008-12-01,0,-43.5,172.5,0001,100779.19
2009-01-01,0,-43.5,172.5,0001,101177.75
2009-02-01,0,-43.5,172.5,0001,101315.94
2009-03-01,0,-43.5,172.5,0001,101574.0
2009-04-01,0,-43.5,172.5,0001,101912.56
2009-05-01,0,-43.5,172.5,0001,100995.0
2009-06-01,0,-43.5,172.5,0001,101893.94
2009-07-01,0,-43.5,172.5,0001,100841.0
2009-08-01,0,-43.5,172.5,0001,101278.5
2009-09-01,0,-43.5,172.5,0001,101488.125
2009-10-01,0,-43.5,172.5,0001,101114.875
2009-11-01,0,-43.5,172.5,0001,100800.06
2009-12-01,0,-43.5,172.5,0001,101198.31
2010-01-01,0,-43.5,172.5,0001,101129.625
2010-02-01,0,-43.5,172.5,0001,101820.5
2010-03-01,0,-43.5,172.5,0001,101463.94
2010-04-01,0,-43.5,172.5,0001,101422.875
2010-05-01,0,-43.5,172.5,0001,101500.19
2010-06-01,0,-43.5,172.5,0001,101382.56
