X,Y,OBJECTID,RIVER,SITENAME,SITE,TIM_CHCH,TELEMETERED,LAST_SAMPLE,LAST_HOUR,RAIN_TODAY,RAIN_1_DAY_AGO,RAIN_2_DAYS_AGO,RAIN_3_DAYS_AGO,RAIN_4_DAYS_AGO,RAIN_5_DAYS_AGO,RAIN_6_DAYS_AGO,RAIN_7_DAYS_AGO,TOTAL_RAINFALL,ALTITUDE,NZMGX,NZMGY,NZMS260,NZTMX,NZTMY,NZTOPO50,SITENUMBER
2434211.1,5103606.1,77,Tutuiri (Chatham Island) at Schist Outcrop,Schist Outcrop,Tutuiri (Chatham Island) at Schist Outcrop,C,T,2026/04/09 00:00:00+00,0,1.5,0,0,0,0,0,0,0,1.5,15,3345241,5666875,,2434211,5103606,,986108
1507022,5266024,3372,Waimakariri at Mount Byrne,Mount Byrne,Waimakariri at Mount Byrne,C,T,2026/04/09 00:00:00+00,0.5,24.5,35.5,9.5,0,3.5,35,6.5,0,114.5,1418,2416998,5827659,L33:16998-27659,1507022,5266024,BU21:0702-6602,217810
1506391,5253154,3388,Waimakariri at Ranger Stream,Ranger Stream,Waimakariri at Ranger Stream,C,T,2026/04/09 00:00:00+00,0,7.5,21,3.5,0,3,5,0,0,40,625,2416369,5814786,L33:16369-14786,1506391,5253154,BV21:0639-5315,218810
1482760,5244669,3400,Waimakariri at Arthur's Pass,Arthur's Pass,Waimakariri at Arthur's Pass,C,T,2026/04/09 00:00:00+00,0,6.5,40,10.5,0,8.5,32,2.5,0,100,750,2392733,5806296,K33:92733-06296,1482760,5244669,BV20:8276-4466,219510
1515946,5249806,3403,Waimakariri at Bull Creek,Bull Creek,Waimakariri at Bull Creek,C,T,2026/04/09 00:00:00+00,0,5.5,7.5,1,0,1,4.5,0,0,19.5,745,2425927,5811438,L33:25927-11438,1515946,5249806,BV21:1594-4980,219910
1571497,5325514,3415,Waiau Uwha at Maling Pass,Maling Pass,Waiau Uwha at Maling Pass,C,T,2026/04/09 00:00:00+00,0,1,2.5,0,0,0,0,0,0,3.5,832,2481485,5887176,M31:81485-87176,1571497,5325514,BT24:7149-2551,222610
1559748,5284621,3447,Waiau Uwha at Glynn Wye,Glynn Wye,Waiau Uwha at Glynn Wye,C,T,2026/04/08 23:55:00+00,0,0.5,0,0,0,0,0,0,0,0.5,410,2469738,5846268,M32:69738-46268,1559748,5284621,BU23:5974-8462,226510
1562429,5262273,3455,Hurunui at Mandamus,Mandamus,Hurunui at Mandamus,C,T,2026/04/09 00:00:00+00,0,0,0,0.5,6.5,17.5,0,0,0,24.5,300,2472423,5823913,M33:72423-23913,1562429,5262273,BU23:6242-6227,227510
1581327,5279063,3461,Waiau Uwha at Marble Point,Marble Point,Waiau Uwha at Marble Point,C,T,2026/04/09 00:00:00+00,0,0,0.5,0,3.5,5.5,0,0,0,9.5,270,2491325,5840710,N32:91325-40710,1581327,5279063,BU24:8132-7906,227810
1531115,5258663,3462,Hurunui at North Esk,North Esk,Hurunui at North Esk,C,T,2026/04/09 00:00:00+00,0,1,1,1,0,0,1,0,0,4,760,2441099,5820299,L33:41099-20299,1531115,5258663,BV22:3111-5866,228213
1674522,5337964,3492,Waiau Toa/Clarence at Shingle Fan,Shingle Fan,Waiau Toa/Clarence at Shingle Fan,C,T,2026/04/09 00:00:00+00,0,0,6,0,3.5,0,0,0,0,9.5,304,2584543,5899645,P30:84543-99645,1674522,5337964,BS28:7452-3796,231910
1658820,5321765,3496,Clinton at Clinton Ridge,Clinton Ridge,Clinton at Clinton Ridge,C,T,2026/04/09 00:00:00+00,0,0,1,0.5,1.5,0.5,0,0,0,3.5,731,2568840,5883438,O31:68840-83438,1658820,5321765,BT27:5882-2176,232710
1647311,5317009,3501,Kowhai at Snowflake Ridge,Snowflake Ridge,Kowhai at Snowflake Ridge,C,T,2026/04/09 00:05:00+00,0,0,2,0,1.5,4.5,0,0,0,8,1050,2557327,5878678,O31:57327-78678,1647311,5317009,BT27:4731-1700,233510
1651243,5312787,3511,Waimangarara at Luke Creek,Luke Creek,Waimangarara at Luke Creek,C,T,2026/04/09 00:10:00+00,0,0,0.5,0,9.5,20.5,0,0,0,30.5,335,2561262,5874456,O31:61262-74456,1651243,5312787,BT27:5124-1278,233610
1645295,5300212,3529,Rosy Morn at Tea Tree Terrace,Tea Tree Terrace,Rosy Morn at Tea Tree Terrace,C,T,2026/04/09 00:00:00+00,0,0,1,0,5.5,8.5,0,0,0,15,335,2555314,5861875,O31:55314-61875,1645295,5300212,BT27:4529-0021,234511
1611690,5280048,3549,Stanton at Cheddar Valley (ESNZ),Cheddar Valley(ESNZ),Stanton at Cheddar Valley (ESNZ),C,T,2026/04/09 00:00:00+00,0,0,0.5,0,0,2.5,0,0,0,3,152,2521699,5841699,N32:21699-41699,1611690,5280048,BU25:1169-8004,236113
1608601.5,5262188.1,3556,Waiau Uwha at Lowry Hills,Lowry Hills,Waiau Uwha at Lowry Hills,C,T,2026/04/09 00:00:00+00,0,0,0.5,0,1.5,1.5,0,0,0,3.5,239,2518611,5823832,N33:18611-23832,1608601,5262188,BU25:0860-6218,237101
1607705,5250954,3565,Hurunui at Hurunui SH1,Hurunui SH1,Hurunui at Hurunui SH1,C,T,2026/04/09 00:05:00+00,0,0,0,0.5,1.5,0.5,0,0,0,2.5,80,2517716,5812594,N33:17716-12594,1607705,5250954,BV25:0770-5095,239101
1413398,5186670,3608,Rangitata at Mistake Flats,Mistake Flats,Rangitata at Mistake Flats,C,T,2026/04/09 00:05:00+00,0,1,25,9.5,0.5,9.5,44.5,6.5,0,96.5,794,2323369,5748290,I35:23369-48290,1413398,5186670,BX17:1339-8667,304610
1426619,5179518,3622,Clyde at Erewhon,Erewhon,Clyde at Erewhon,C,T,2026/04/09 00:00:00+00,0,0,10.5,1.5,0,8,9.5,0,0,29.5,616,2336590,5741138,J35:36590-41138,1426619,5179518,BX18:2661-7951,305810
1407840,5160637,3627,Macauley at Mount Gerald,Mount Gerald,Macauley at Mount Gerald,C,T,2026/04/09 00:05:00+00,0,0,0.5,0.5,0,3,13.5,0,0,17.5,823,2317811,5722260,I36:17811-22260,1407840,5160637,BX17:0784-6063,306610
1366285,5153316,3629,Hooker at Aoraki/Mount Cook,Aoraki/Mount Cook,Hooker at Aoraki/Mount Cook,C,T,2026/04/09 00:00:00+00,0,6,37.5,10,0.5,30.5,95.5,5,0,185,727,2276262,5714944,H36:76262-14944,1366285,5153316,BY15:6628-5331,307001
1464849,5242602,3691,Wilberforce at Clough Memorial,Clough Memorial,Wilberforce at Clough Memorial,C,T,2026/04/09 00:00:00+00,1,10,80,18.5,0,19,92.5,20,0,240,975,2374819,5804227,K33:74819-04227,1464849,5242602,BV19:6484-4260,310311
1473464,5242142,3694,Waimakariri at Carrington,Carrington,Waimakariri at Carrington,C,T,2026/04/09 00:00:00+00,0,8.5,48,13.5,0,8,54,4.5,0,136.5,823,2383436,5803768,K33:83436-03768,1473464,5242142,BV20:7346-4214,310510
1499654,5232199,3724,Waimakariri at Grasmere,Grasmere,Waimakariri at Grasmere,C,T,2026/04/09 00:00:00+00,0,0.5,6.5,4.5,0,2.5,0.5,0,0,14.5,600,2409632,5793825,K34:09632-93825,1499654,5232199,BV21:9965-3219,311810
1515640,5225591,3725,Waimakariri at Esk,Esk,Waimakariri at Esk,C,T,2026/04/09 00:00:00+00,0,0,1,2,0,0,0,0,0,3,400,2425622,5787217,L34:25622-87217,1515640,5225591,BW21:1564-2559,311910
