station,metric,threshold_mm,n_years,trend,p_value,kendall_tau,sen_slope,significant_0.05
Akaroa EWS,annual_total_rainfall,41.129999999999974,19,no trend,0.5756369136048027,0.09941520467836257,3.8454545454545412,False
Akaroa EWS,annual_max_daily_rainfall,41.129999999999974,19,no trend,0.050090305683375025,0.3333333333333333,4.942857142857144,False
Akaroa EWS,annual_extreme_days,41.129999999999974,19,no trend,0.1295535586769676,0.2573099415204678,0.16666666666666666,False
Banks Peninsula at Kaituna Valley,annual_total_rainfall,42.0,58,no trend,0.697229407204877,0.03569267997580157,1.4322580645161247,False
Banks Peninsula at Kaituna Valley,annual_max_daily_rainfall,42.0,58,no trend,1.0,0.0,0.0,False
Banks Peninsula at Kaituna Valley,annual_extreme_days,42.0,58,no trend,0.6170402476504175,0.045372050816696916,0.0,False
Barrys Bay at Hilltop,annual_total_rainfall,36.5,11,no trend,0.0867681727038756,-0.41818181818181815,-54.94999999999993,False
Barrys Bay at Hilltop,annual_max_daily_rainfall,36.5,11,no trend,0.8762696636277618,-0.05454545454545454,-1.180000000000001,False
Barrys Bay at Hilltop,annual_extreme_days,36.5,11,decreasing,0.04764131202657951,-0.4727272727272727,-0.4,True
Bottle Lake,annual_total_rainfall,26.200000000000003,27,increasing,0.001151186389790615,0.301994301994302,0.0,True
Bottle Lake,annual_max_daily_rainfall,26.200000000000003,27,increasing,0.001428704820307658,0.2962962962962963,0.0,True
Bottle Lake,annual_extreme_days,26.200000000000003,27,increasing,0.0012578796987434693,0.29914529914529914,0.0,True
Christchurch Aero,annual_total_rainfall,25.76999999999998,67,increasing,0.032116070856694545,0.17955676164631387,2.1454545454545477,True
Christchurch Aero,annual_max_daily_rainfall,25.76999999999998,67,no trend,0.08723048148800339,0.14337403889642697,0.20000000000000018,False
Christchurch Aero,annual_extreme_days,25.76999999999998,67,increasing,0.01859283940082035,0.19493441881501583,0.034482758620689655,True
Christchurch Aws,annual_total_rainfall,27.519999999999975,3,no trend,1.0,-0.3333333333333333,-210.20000000000005,False
Christchurch Aws,annual_max_daily_rainfall,27.519999999999975,3,no trend,1.0,-0.3333333333333333,-20.400000000000002,False
Christchurch Aws,annual_extreme_days,27.519999999999975,3,no trend,0.2962698714842864,-1.0,-4.5,False
Christchurch Gardens,annual_total_rainfall,21.900000000000002,144,increasing,0.0019397489204591167,0.17433954933954934,1.2773504273504281,True
Christchurch Gardens,annual_max_daily_rainfall,21.900000000000002,144,increasing,0.022469386240377753,0.1283993783993784,0.0899999999999999,True
Christchurch Gardens,annual_extreme_days,21.900000000000002,144,increasing,0.00892145911377229,0.145979020979021,0.011904761904761904,True
"Christchurch, Kyle St EWS",annual_total_rainfall,102.59999999999992,1,insufficient data,,,,False
"Christchurch, Kyle St EWS",annual_max_daily_rainfall,102.59999999999992,1,insufficient data,,,,False
"Christchurch, Kyle St EWS",annual_extreme_days,102.59999999999992,1,insufficient data,,,,False
