valid_time,number,latitude,longitude,expver,msl
2006-01-01,0,-43.75,172.75,0001,100989.25
2006-02-01,0,-43.75,172.75,0001,101312.125
2006-03-01,0,-43.75,172.75,0001,101447.06
2006-04-01,0,-43.75,172.75,0001,100965.31
2006-05-01,0,-43.75,172.75,0001,101424.75
2006-06-01,0,-43.75,172.75,0001,101652.375
2006-07-01,0,-43.75,172.75,0001,101613.56
2006-08-01,0,-43.75,172.75,0001,101224.0
2006-09-01,0,-43.75,172.75,0001,101527.0
2006-10-01,0,-43.75,172.75,0001,101114.875
2006-11-01,0,-43.75,172.75,0001,100687.06
2006-12-01,0,-43.75,172.75,0001,101221.0
2007-01-01,0,-43.75,172.75,0001,101248.56
2007-02-01,0,-43.75,172.75,0001,102023.69
2007-03-01,0,-43.75,172.75,0001,101317.25
2007-04-01,0,-43.75,172.75,0001,101617.5
2007-05-01,0,-43.75,172.75,0001,101564.875
2007-06-01,0,-43.75,172.75,0001,100960.875
2007-07-01,0,-43.75,172.75,0001,101394.875
2007-08-01,0,-43.75,172.75,0001,101188.625
2007-09-01,0,-43.75,172.75,0001,101582.5
2007-10-01,0,-43.75,172.75,0001,100614.875
2007-11-01,0,-43.75,172.75,0001,101386.56
2007-12-01,0,-43.75,172.75,0001,101732.19
2008-01-01,0,-43.75,172.75,0001,101593.125
2008-02-01,0,-43.75,172.75,0001,101201.75
2008-03-01,0,-43.75,172.75,0001,101735.19
2008-04-01,0,-43.75,172.75,0001,101659.125
2008-05-01,0,-43.75,172.75,0001,101571.31
2008-06-01,0,-43.75,172.75,0001,101313.06
2008-07-01,0,-43.75,172.75,0001,101116.31
2008-08-01,0,-43.75,172.75,0001,100906.875
2008-09-01,0,-43.75,172.75,0001,101361.5
2008-10-01,0,-43.75,172.75,0001,101181.44
2008-11-01,0,-43.75,172.75,0001,100974.75
2008-12-01,0,-43.75,172.75,0001,100790.31
2009-01-01,0,-43.75,172.75,0001,101184.875
2009-02-01,0,-43.75,172.75,0001,101325.19
2009-03-01,0,-43.75,172.75,0001,101572.25
2009-04-01,0,-43.75,172.75,0001,101914.19
2009-05-01,0,-43.75,172.75,0001,100973.75
2009-06-01,0,-43.75,172.75,0001,101885.56
2009-07-01,0,-43.75,172.75,0001,100837.0
2009-08-01,0,-43.75,172.75,0001,101284.625
2009-09-01,0,-43.75,172.75,0001,101488.875
2009-10-01,0,-43.75,172.75,0001,101110.75
2009-11-01,0,-43.75,172.75,0001,100811.69
2009-12-01,0,-43.75,172.75,0001,101204.56
2010-01-01,0,-43.75,172.75,0001,101133.75
2010-02-01,0,-43.75,172.75,0001,101834.625
2010-03-01,0,-43.75,172.75,0001,101472.69
2010-04-01,0,-43.75,172.75,0001,101424.0
2010-05-01,0,-43.75,172.75,0001,101492.31
2010-06-01,0,-43.75,172.75,0001,101367.19
2010-07-01,0,-43.75,172.75,0001,101942.75
2010-08-01,0,-43.75,172.75,0001,101004.44
2010-09-01,0,-43.75,172.75,0001,100394.44
2010-10-01,0,-43.75,172.75,0001,102035.44
2010-11-01,0,-43.75,172.75,0001,101862.375
2010-12-01,0,-43.75,172.75,0001,101144.125
2011-01-01,0,-43.75,172.75,0001,101253.875
2011-02-01,0,-43.75,172.75,0001,101394.5
2011-03-01,0,-43.75,172.75,0001,101628.0
2011-04-01,0,-43.75,172.75,0001,101736.44
2011-05-01,0,-43.75,172.75,0001,100992.75
2011-06-01,0,-43.75,172.75,0001,101305.625
2011-07-01,0,-43.75,172.75,0001,100684.75
2011-08-01,0,-43.75,172.75,0001,101679.69
2011-09-01,0,-43.75,172.75,0001,101096.25
2011-10-01,0,-43.75,172.75,0001,101389.19
2011-11-01,0,-43.75,172.75,0001,100863.75
2011-12-01,0,-43.75,172.75,0001,101602.44
2012-01-01,0,-43.75,172.75,0001,100947.31
2012-02-01,0,-43.75,172.75,0001,101553.69
2012-03-01,0,-43.75,172.75,0001,101765.19
2012-04-01,0,-43.75,172.75,0001,102007.875
2012-05-01,0,-43.75,172.75,0001,101556.25
2012-06-01,0,-43.75,172.75,0001,101094.81
2012-07-01,0,-43.75,172.75,0001,101977.0
2012-08-01,0,-43.75,172.75,0001,101447.625
2012-09-01,0,-43.75,172.75,0001,101144.56
2012-10-01,0,-43.75,172.75,0001,100398.0
2012-11-01,0,-43.75,172.75,0001,101236.25
2012-12-01,0,-43.75,172.75,0001,101121.625
2013-01-01,0,-43.75,172.75,0001,101122.125
2013-02-01,0,-43.75,172.75,0001,101857.56
2013-03-01,0,-43.75,172.75,0001,101654.19
2013-04-01,0,-43.75,172.75,0001,101353.69
2013-05-01,0,-43.75,172.75,0001,101222.06
2013-06-01,0,-43.75,172.75,0001,101356.94
2013-07-01,0,-43.75,172.75,0001,101844.875
2013-08-01,0,-43.75,172.75,0001,101096.5
2013-09-01,0,-43.75,172.75,0001,101010.875
2013-10-01,0,-43.75,172.75,0001,100566.125
2013-11-01,0,-43.75,172.75,0001,101435.0
2013-12-01,0,-43.75,172.75,0001,100934.44
2014-01-01,0,-43.75,172.75,0001,100764.25
2014-02-01,0,-43.75,172.75,0001,101310.375
2014-03-01,0,-43.75,172.75,0001,101951.44
2014-04-01,0,-43.75,172.75,0001,101538.375
2014-05-01,0,-43.75,172.75,0001,101227.44
2014-06-01,0,-43.75,172.75,0001,101666.0
2014-07-01,0,-43.75,172.75,0001,101198.75
2014-08-01,0,-43.75,172.75,0001,101911.5
2014-09-01,0,-43.75,172.75,0001,101094.44
2014-10-01,0,-43.75,172.75,0001,100864.875
2014-11-01,0,-43.75,172.75,0001,100476.25
2014-12-01,0,-43.75,172.75,0001,101570.31
2015-01-01,0,-43.75,172.75,0001,101467.5
2015-02-01,0,-43.75,172.75,0001,101656.625
2015-03-01,0,-43.75,172.75,0001,101214.94
2015-04-01,0,-43.75,172.75,0001,101424.31
2015-05-01,0,-43.75,172.75,0001,101048.19
2015-06-01,0,-43.75,172.75,0001,101131.81
2015-07-01,0,-43.75,172.75,0001,101528.875
2015-08-01,0,-43.75,172.75,0001,101466.875
2015-09-01,0,-43.75,172.75,0001,101473.125
2015-10-01,0,-43.75,172.75,0001,101260.31
2015-11-01,0,-43.75,172.75,0001,101206.875
2015-12-01,0,-43.75,172.75,0001,101257.5
2016-01-01,0,-43.75,172.75,0001,101357.75
2016-02-01,0,-43.75,172.75,0001,101261.75
2016-03-01,0,-43.75,172.75,0001,101917.56
2016-04-01,0,-43.75,172.75,0001,101835.875
2016-05-01,0,-43.75,172.75,0001,100371.81
2016-06-01,0,-43.75,172.75,0001,101531.94
2016-07-01,0,-43.75,172.75,0001,100738.0
2016-08-01,0,-43.75,172.75,0001,101557.81
2016-09-01,0,-43.75,172.75,0001,101458.44
2016-10-01,0,-43.75,172.75,0001,100779.06
2016-11-01,0,-43.75,172.75,0001,100262.125
2016-12-01,0,-43.75,172.75,0001,100932.25
2017-01-01,0,-43.75,172.75,0001,100376.81
2017-02-01,0,-43.75,172.75,0001,101502.625
2017-03-01,0,-43.75,172.75,0001,101684.375
2017-04-01,0,-43.75,172.75,0001,101628.31
2017-05-01,0,-43.75,172.75,0001,101770.81
2017-06-01,0,-43.75,172.75,0001,101752.875
2017-07-01,0,-43.75,172.75,0001,101072.06
2017-08-01,0,-43.75,172.75,0001,101100.81
2017-09-01,0,-43.75,172.75,0001,100295.625
2017-10-01,0,-43.75,172.75,0001,101306.69
2017-11-01,0,-43.75,172.75,0001,101911.44
2017-12-01,0,-43.75,172.75,0001,101274.5
2018-01-01,0,-43.75,172.75,0001,101281.81
2018-02-01,0,-43.75,172.75,0001,100967.25
2018-03-01,0,-43.75,172.75,0001,101605.56
2018-04-01,0,-43.75,172.75,0001,100995.0
2018-05-01,0,-43.75,172.75,0001,101140.31
2018-06-01,0,-43.75,172.75,0001,101702.19
2018-07-01,0,-43.75,172.75,0001,101043.94
2018-08-01,0,-43.75,172.75,0001,100882.875
2018-09-01,0,-43.75,172.75,0001,101444.75
2018-10-01,0,-43.75,172.75,0001,101633.19
2018-11-01,0,-43.75,172.75,0001,101106.19
2018-12-01,0,-43.75,172.75,0001,101236.875
2019-01-01,0,-43.75,172.75,0001,101059.81
2019-02-01,0,-43.75,172.75,0001,101361.125
2019-03-01,0,-43.75,172.75,0001,102096.375
2019-04-01,0,-43.75,172.75,0001,101982.56
2019-05-01,0,-43.75,172.75,0001,101364.0
2019-06-01,0,-43.75,172.75,0001,101490.125
2019-07-01,0,-43.75,172.75,0001,100984.5
2019-08-01,0,-43.75,172.75,0001,100483.56
2019-09-01,0,-43.75,172.75,0001,100997.5
2019-10-01,0,-43.75,172.75,0001,100948.625
2019-11-01,0,-43.75,172.75,0001,100764.875
2019-12-01,0,-43.75,172.75,0001,100742.0
2020-01-01,0,-43.75,172.75,0001,101313.875
2020-02-01,0,-43.75,172.75,0001,101358.25
2020-03-01,0,-43.75,172.75,0001,101636.81
2020-04-01,0,-43.75,172.75,0001,101153.625
2020-05-01,0,-43.75,172.75,0001,101937.19
2020-06-01,0,-43.75,172.75,0001,101869.625
2020-07-01,0,-43.75,172.75,0001,101631.625
2020-08-01,0,-43.75,172.75,0001,101047.0
2020-09-01,0,-43.75,172.75,0001,101268.25
2020-10-01,0,-43.75,172.75,0001,101904.25
2020-11-01,0,-43.75,172.75,0001,101200.25
2020-12-01,0,-43.75,172.75,0001,101192.69
2021-01-01,0,-43.75,172.75,0001,100873.19
2021-02-01,0,-43.75,172.75,0001,101764.0
2021-03-01,0,-43.75,172.75,0001,101516.81
2021-04-01,0,-43.75,172.75,0001,100987.94
2021-05-01,0,-43.75,172.75,0001,101584.875
2021-06-01,0,-43.75,172.75,0001,101779.94
